country,winning chance,BETFAIR SPORT,WILLIAM HILL,SKY BET,BETWAY,SMARKETS,BETFAIR EXCHANGE,scrapped_day
Ukraine,23%,3,3,3,,2.94,3.1,2022-11-18 19:11:35.831184
Italy,8%,8,8,7.5,,13,14,2022-11-18 19:11:35.831184
UKUnited Kingdom,8%,8,7,7,10,15,15,2022-11-18 19:11:35.831184
Sweden,6%,11,8,10,,14,15,2022-11-18 19:11:35.831184
Spain,4%,17,17,15,,19,20,2022-11-18 19:11:35.831184
Norway,4%,17,19,15,,20,20,2022-11-18 19:11:35.831184
France,4%,17,19,17,,20,20,2022-11-18 19:11:35.831184
Greece,4%,21,19,17,,21,22,2022-11-18 19:11:35.831184
Poland,3%,21,19,17,,24,25,2022-11-18 19:11:35.831184
Switzerland,3%,21,21,21,,23,24,2022-11-18 19:11:35.831184
Australia,3%,21,21,21,,26,27,2022-11-18 19:11:35.831184
Armenia,3%,17,17,41,,22,23,2022-11-18 19:11:35.831184
Belgium,2%,26,34,34,,25,26,2022-11-18 19:11:35.831184
Serbia,2%,26,34,34,,29,30,2022-11-18 19:11:35.831184
Netherlands artists: Mia Nicolai & Dion Cooper,2%,41,41,41,,14,13,2022-11-18 19:11:35.831184
Azerbaijan,2%,34,34,51,,32,34,2022-11-18 19:11:35.831184
Finland,2%,41,41,41,,38,40,2022-11-18 19:11:35.831184
Ireland,2%,51,51,51,41,14,10,2022-11-18 19:11:35.831184
Israel artist: Noa Kirel,2%,51,41,51,,25,26,2022-11-18 19:11:35.831184
Germany,1%,51,51,51,,48,50,2022-11-18 19:11:35.831184
Iceland,1%,51,51,51,,48,50,2022-11-18 19:11:35.831184
Cyprus artist: Andrew Lambrou,1%,67,67,81,,15,4.5,2022-11-18 19:11:35.831184
Portugal,1%,67,67,51,,60,65,2022-11-18 19:11:35.831184
San Marino,1%,67,67,51,,60,65,2022-11-18 19:11:35.831184
Lithuania,1%,67,67,67,,60,65,2022-11-18 19:11:35.831184
Estonia,1%,67,67,81,,60,65,2022-11-18 19:11:35.831184
Austria,1%,101,101,101,,16,11,2022-11-18 19:11:35.831184
Croatia,1%,101,101,101,,16,11,2022-11-18 19:11:35.831184
Czech Rep.Czech Republic,1%,101,101,101,,16,11,2022-11-18 19:11:35.831184
Denmark,1%,101,101,101,,16,11,2022-11-18 19:11:35.831184
Latvia,1%,101,101,81,,95,100,2022-11-18 19:11:35.831184
Slovenia,1%,101,101,81,,95,100,2022-11-18 19:11:35.831184
Moldova,1%,67,201,101,,60,65,2022-11-18 19:11:35.831184
Romania,1%,101,201,151,,20,21,2022-11-18 19:11:35.831184
Malta,<1%,201,201,101,,16,16,2022-11-18 19:11:35.831184
Georgia,<1%,201,201,151,,95,100,2022-11-18 19:11:35.831184
Albania,<1%,201,201,201,,95,100,2022-11-18 19:11:35.831184
verified (CET),verified (CET),23:08,22:48,23:08,23:08,22:48,22:48,2022-11-18 19:11:35.831184
changed (CET),changed (CET),22 Oct,13 Nov,13 Nov,21 Oct,19:48,16:48,2022-11-18 19:11:35.831184
